customer_id,marriage_status,gender,age,home_income
4001,Married,M,45,10000
4002,Single,M,50,65000
4003,Single,M,22,33000
4004,Married,M,30,22000
4005,Married,M,40,56000
4006,Married,M,60,150000
4007,Single,M,16,125000
4008,Single,M,28,135000
4009,Single,M,12,250000
4010,Single,M,45,35000
4011,Married,F,50,65000
4012,Single,M,60,75000
4013,Single,F,18,85000
4014,Single,F,14,90000
4015,Married,M,36,100000
4016,Single,M,23,20000
4017,Married,M,38,35000
4018,Married,F,73,35000
4019,Single,M,51,40000
4020,Single,M,23,60000
4021,Single,M,47,80000
4022,Single,F,53,90000
4023,Single,M,39,41000
4024,Single,M,12,42000
4025,Married,M,32,43000
4026,Married,M,51,65000
4027,Single,M,57,89000
4028,Married,M,83,99000
4029,Married,F,17,100000
4030,Single,M,47,82000
4031,Single,M,43,76000
4032,Single,M,51,84000
4033,Single,M,63,85000
4034,Single,M,33,15000
4035,Single,M,28,45000
4036,Single,M,52,44000
